V,3.2.14,2016-08-17 14:37:41 +0900,/home/vagrant/wint/tmp/data/001/0001/001/analy/adlint/output
W,../adlint.c,121,1,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,122,1,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,127,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,141,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,159,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,181,1,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,181,1,c_builtin,W0576,UNC,X99,基本ソース文字集合に含まれない文字が、ソースファイル `../adlint.c' のコメントの中で使われています。
W,../adlint.c,185,10,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,206,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,221,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,228,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,230,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,232,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,234,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,236,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,248,19,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,250,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,253,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,258,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,263,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,268,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
W,../adlint.c,279,3,c_builtin,W0511,UNC,X99,C++ コメント `//' が使われています。
